Gene,Transcript,Protein_ID,Produto,CDS_nt,RNA_nt,Protein_aa,Molecular_Weight_Da,pI,Aromaticity,Instability_Index,GRAVY,Cys,His,Gly,Pro,Trp,Tyr
HBB,NM_000518.5,NP_000509.1,hemoglobin subunit beta,444,444,147,15998.21,6.74,0.0884,6.16,0.0136,2,9,13,7,2,3
HBA1,NM_000558.5,NP_000549.1,hemoglobin subunit alpha,429,429,142,15257.36,8.72,0.0775,6.97,0.0479,1,10,7,7,1,3
VHL,NM_000551.3,NP_000542.1,von Hippel-Lindau disease tumor suppressor isoform 1,642,642,213,24152.49,4.7,0.0657,68.65,-0.7765,2,5,18,19,3,6
